estado,anio,surtidas,total,institucion,tipo
TAMAULIPAS,2021,38057,44892,SEMAR,militar
TAMAULIPAS,2022,45636,52661,SEMAR,militar
TAMAULIPAS,2023,46589,52345,SEMAR,militar
VERACRUZ,2019,120546,162334,SEMAR,militar
VERACRUZ,2020,63739,84996,SEMAR,militar
VERACRUZ,2021,63706,85884,SEMAR,militar
VERACRUZ,2022,95707,118922,SEMAR,militar
VERACRUZ,2023,160778,174367,SEMAR,militar
YUCATÁN,2019,10021,13638,SEMAR,militar
YUCATÁN,2020,7693,9463,SEMAR,militar
YUCATÁN,2021,7781,11107,SEMAR,militar
YUCATÁN,2022,8960,11249,SEMAR,militar
YUCATÁN,2023,9645,11117,SEMAR,militar
