estado,anio,mes_num,surtidas,total
BAJA CALIFORNIA,2021,3,65860,69630
BAJA CALIFORNIA,2021,4,18126,19804
BAJA CALIFORNIA,2021,5,74684,77365
BAJA CALIFORNIA,2021,6,76235,78860
BAJA CALIFORNIA,2021,7,81343,85291
BAJA CALIFORNIA,2021,8,85151,88340
BAJA CALIFORNIA,2021,9,85316,89193
BAJA CALIFORNIA,2021,10,83560,86546
BAJA CALIFORNIA,2021,11,48508,51040
BAJA CALIFORNIA,2021,12,76787,80119
BAJA CALIFORNIA,2022,1,81641,83820
BAJA CALIFORNIA,2022,2,79482,82472
BAJA CALIFORNIA,2022,3,88334,92065
BAJA CALIFORNIA,2022,4,79152,82867
BAJA CALIFORNIA,2022,5,89298,93278
BAJA CALIFORNIA,2022,6,55932,57791
BAJA CALIFORNIA,2022,7,84110,86931
BAJA CALIFORNIA,2022,8,90072,93631
BAJA CALIFORNIA,2022,9,81122,84235
BAJA CALIFORNIA,2022,10,87212,90422
BAJA CALIFORNIA,2022,11,85696,88721
BAJA CALIFORNIA,2022,12,82693,85209
BAJA CALIFORNIA,2023,1,93881,96211
BAJA CALIFORNIA,2023,2,85401,88173
BAJA CALIFORNIA,2023,3,93489,99481
BAJA CALIFORNIA,2023,4,84735,87374
BAJA CALIFORNIA,2023,5,96481,99455
BAJA CALIFORNIA,2023,6,73920,76557
BAJA CALIFORNIA,2023,7,96972,98723
BAJA CALIFORNIA,2023,8,106509,108034
BAJA CALIFORNIA,2023,9,101417,103501
BAJA CALIFORNIA,2023,10,108534,110262
BAJA CALIFORNIA,2023,11,94283,95995
BAJA CALIFORNIA,2023,12,94389,96524
BAJA CALIFORNIA,2024,1,105313,107106
BAJA CALIFORNIA,2024,2,93843,97687
BAJA CALIFORNIA,2024,3,92744,97281
BAJA CALIFORNIA,2024,4,110447,112211
BAJA CALIFORNIA,2024,5,112527,114363
BAJA CALIFORNIA,2024,6,105576,107121
BAJA CALIFORNIA,2024,7,114136,116421
BAJA CALIFORNIA,2024,8,112167,114637
BAJA CALIFORNIA,2024,9,110005,111566
BAJA CALIFORNIA,2024,10,123365,125407
BAJA CALIFORNIA,2024,11,108544,110824
BAJA CALIFORNIA,2024,12,108245,111721
BAJA CALIFORNIA SUR,2018,1,85886,87345
BAJA CALIFORNIA SUR,2018,2,76633,78516
BAJA CALIFORNIA SUR,2018,3,81164,82027
BAJA CALIFORNIA SUR,2018,4,82959,83799
BAJA CALIFORNIA SUR,2018,5,84109,85579
BAJA CALIFORNIA SUR,2018,6,75107,76087
BAJA CALIFORNIA SUR,2018,7,76180,77068
BAJA CALIFORNIA SUR,2018,8,79233,80148
BAJA CALIFORNIA SUR,2018,9,76842,77559
BAJA CALIFORNIA SUR,2018,10,88830,89544
BAJA CALIFORNIA SUR,2018,11,87077,89308
BAJA CALIFORNIA SUR,2018,12,73463,73950
BAJA CALIFORNIA SUR,2019,1,89796,91576
BAJA CALIFORNIA SUR,2019,2,82809,84568
BAJA CALIFORNIA SUR,2019,3,50668,51916
BAJA CALIFORNIA SUR,2019,4,78678,80616
BAJA CALIFORNIA SUR,2019,5,84255,87074
BAJA CALIFORNIA SUR,2019,6,80246,82580
BAJA CALIFORNIA SUR,2019,7,78973,81274
BAJA CALIFORNIA SUR,2019,8,70877,74480
BAJA CALIFORNIA SUR,2019,9,78436,80391
BAJA CALIFORNIA SUR,2019,10,88226,90807
BAJA CALIFORNIA SUR,2019,11,76658,78910
BAJA CALIFORNIA SUR,2019,12,75591,77508
BAJA CALIFORNIA SUR,2020,1,81384,83916
BAJA CALIFORNIA SUR,2020,2,75600,78705
BAJA CALIFORNIA SUR,2020,3,76294,80213
BAJA CALIFORNIA SUR,2020,4,49459,51890
BAJA CALIFORNIA SUR,2020,5,45576,48145
BAJA CALIFORNIA SUR,2020,6,47129,49099
BAJA CALIFORNIA SUR,2020,7,58602,60402
